Algorithm,Size,Distribution,Run,TimeMillis
Merge,1000,Random,2,0
Merge,1000,Random,3,0
Merge,1000,Random,4,0
Merge,1000,Random,5,0
Merge,1000,Random,6,0
Merge,1000,Random,7,0
Merge,1000,Random,8,0
Merge,1000,Random,9,0
Merge,1000,Random,10,0
Merge,1000,Random,11,0
Merge,1000,Random,12,0
Merge,1000,Random,13,0
Merge,1000,Random,14,0
Merge,1000,Random,15,0
Merge,1000,Random,16,0
Merge,1000,Random,17,0
Merge,1000,Random,18,0
Merge,1000,Random,19,0
Merge,1000,Random,20,0
Merge,1000,Random,21,0
Merge,1000,Random,22,0
Merge,1000,Random,23,0
Merge,1000,Random,24,0
Merge,1000,Random,25,0
Merge,1000,Random,26,0
Merge,1000,Random,27,0
Merge,1000,Random,28,0
Merge,1000,Random,29,0
Merge,1000,Random,30,0
Merge,1000,Sorted,1,0
Merge,1000,Sorted,2,0
Merge,1000,Sorted,3,0
Merge,1000,Sorted,4,0
Merge,1000,Sorted,5,0
Merge,1000,Sorted,6,0
Merge,1000,Sorted,7,0
Merge,1000,Sorted,8,0
Merge,1000,Sorted,9,0
Merge,1000,Sorted,10,0
Merge,1000,Sorted,11,0
Merge,1000,Sorted,12,0
Merge,1000,Sorted,13,0
Merge,1000,Sorted,14,0
Merge,1000,Sorted,15,0
Merge,1000,Sorted,16,0
Merge,1000,Sorted,17,0
Merge,1000,Sorted,18,0
Merge,1000,Sorted,19,0
Merge,1000,Sorted,20,0
Merge,1000,Sorted,21,0
Merge,1000,Sorted,22,0
Merge,1000,Sorted,23,0
Merge,1000,Sorted,24,0
Merge,1000,Sorted,25,0
Merge,1000,Sorted,26,0
Merge,1000,Sorted,27,0
Merge,1000,Sorted,28,0
Merge,1000,Sorted,29,0
Merge,1000,Sorted,30,0
Merge,1000,Reversed,1,0
Merge,1000,Reversed,2,0
Merge,1000,Reversed,3,0
Merge,1000,Reversed,4,0
Merge,1000,Reversed,5,0
Merge,1000,Reversed,6,0
Merge,1000,Reversed,7,0
Merge,1000,Reversed,8,0
Merge,1000,Reversed,9,0
Merge,1000,Reversed,10,0
Merge,1000,Reversed,11,0
Merge,1000,Reversed,12,0
Merge,1000,Reversed,13,0
Merge,1000,Reversed,14,0
Merge,1000,Reversed,15,0
Merge,1000,Reversed,16,0
Merge,1000,Reversed,17,0
Merge,1000,Reversed,18,0
Merge,1000,Reversed,19,0
Merge,1000,Reversed,20,0
Merge,1000,Reversed,21,0
Merge,1000,Reversed,22,0
Merge,1000,Reversed,23,0
Merge,1000,Reversed,24,0
Merge,1000,Reversed,25,0
Merge,1000,Reversed,26,0
Merge,1000,Reversed,27,0
Merge,1000,Reversed,28,0
Merge,1000,Reversed,29,0
Merge,1000,Reversed,30,0
Merge,10000,Random,1,1
Merge,10000,Random,2,1
Merge,10000,Random,3,0
Merge,10000,Random,4,0
Merge,10000,Random,5,1
Merge,10000,Random,6,1
Merge,10000,Random,7,0
Merge,10000,Random,8,1
Merge,10000,Random,9,2
Merge,10000,Random,10,0
Merge,10000,Random,11,0
Merge,10000,Random,12,0
Merge,10000,Random,13,1
Merge,10000,Random,14,1
Merge,10000,Random,15,0
Merge,10000,Random,16,1
Merge,10000,Random,17,1
Merge,10000,Random,18,1
Merge,10000,Random,19,2
Merge,10000,Random,20,1
Merge,10000,Random,21,1
Merge,10000,Random,22,1
Merge,10000,Random,23,1
Merge,10000,Random,24,0
Merge,10000,Random,25,1
Merge,10000,Random,26,1
Merge,10000,Random,27,1
Merge,10000,Random,28,1
Merge,10000,Random,29,0
Merge,10000,Random,30,1
Merge,10000,Sorted,1,0
Merge,10000,Sorted,2,0
Merge,10000,Sorted,3,0
Merge,10000,Sorted,4,0
Merge,10000,Sorted,5,0
Merge,10000,Sorted,6,0
Merge,10000,Sorted,7,0
Merge,10000,Sorted,8,0
Merge,10000,Sorted,9,0
Merge,10000,Sorted,10,0
Merge,10000,Sorted,11,0
Merge,10000,Sorted,12,0
Merge,10000,Sorted,13,0
Merge,10000,Sorted,14,0
Merge,10000,Sorted,15,0
Merge,10000,Sorted,16,0
Merge,10000,Sorted,17,0
Merge,10000,Sorted,18,0
Merge,10000,Sorted,19,0
Merge,10000,Sorted,20,0
Merge,10000,Sorted,21,0
Merge,10000,Sorted,22,1
Merge,10000,Sorted,23,1
Merge,10000,Sorted,24,0
Merge,10000,Sorted,25,0
Merge,10000,Sorted,26,1
Merge,10000,Sorted,27,0
Merge,10000,Sorted,28,0
Merge,10000,Sorted,29,0
Merge,10000,Sorted,30,0
Merge,10000,Reversed,1,1
Merge,10000,Reversed,2,0
Merge,10000,Reversed,3,0
Merge,10000,Reversed,4,1
Merge,10000,Reversed,5,1
Merge,10000,Reversed,6,0
Merge,10000,Reversed,7,0
Merge,10000,Reversed,8,0
Merge,10000,Reversed,9,0
Merge,10000,Reversed,10,0
Merge,10000,Reversed,11,0
Merge,10000,Reversed,12,0
Merge,10000,Reversed,13,0
